ems_no,county,company_name,address,process_id,process_name,category,expiry_date
F04A8480,新北市,白紗科技印刷股份有限公司中和廠,新北市中和區中原里中板路二五巷一八號,M01,平版印刷作業程序,操作,116/08/15
F04A9022,新北市,恒通股份有限公司立言廠,新北市中和區中原里立言街三八號一至六樓,M01,印刷電路板製造程序,操作,118/12/21
F04B1431,新北市,雙鍵化工股份有限公司,新北市中和區中原里中正路九五一、九五三、九五五、九五九、九六一號一七樓及九五三、九五五號一八樓,M01,接著劑化學製造程序,操作,116/07/18
F04B1431,新北市,雙鍵化工股份有限公司,新北市中和區中原里中正路九五一、九五三、九五五、九五九、九六一號一七樓及九五三、九五五號一八樓,M02,其他顏料製造程序,操作,116/07/11
F04C2040,新北市,范記天下素食有限公司,新北市中和區中原里立德街五二巷一七號,M01,其他食品製造程序,操作,117/07/01
F04C2941,新北市,彩之坊科技股份有限公司,新北市中和區連和里中山路二段三二三號,M01,平版印刷作業程序,操作,119/09/14
F04C3167,新北市,台灣德鉑股份有限公司橋和二廠,新北市中和區中原里橋和路一一二巷四、六號,M01,網版印刷作業程序,操作,119/06/24
F04C4373,新北市,沛諾美學生技國際有限公司美妝廠,新北市中和區中原里立德街一六八、一七○號四樓,M01,化粧品製造程序,操作,116/03/20
F04C4779,新北市,金全益金屬工廠有限公司中和廠,新北市中和區碧河里建六路六七巷三號一樓,M01,其他基本金屬鑄造製造程序,操作,119/10/26
F04C7149,新北市,光寶科技股份有限公司中和二廠,新北市中和區碧河里建六路七七號、七七號二樓(二樓、四樓、五樓),M01,其他電子零組件製造程序,操作,115/12/29
F04C7911,新北市,連霆營建剩餘土石方資源處理場,新北市中和區國道段三六三地號,M01,堆置場作業程序,設置,118/04/02
F04C9719,新北市,珍品軒食品有限公司,新北市中和區中原里立德街一一二號地下一樓,M01,其他食品製造程序,設置,117/10/10
F0200335,新北市,茂森木業股份有限公司,新北市三重區大有里中正北路五六○巷四九號,M02,合板製品製造程序,操作,118/10/01
F0200399,新北市,寶群紙器股份有限公司,新北市三重區谷王里五谷王北街六六巷四五號,M01,鍋爐蒸氣產生程序,操作,117/06/13
F0201172,新北市,璟鋒紙業股份有限公司,新北市三重區德厚里後埔街八○號,M03,鍋爐蒸氣產生程序,操作,116/09/16
F0201387,新北市,勤宗電鍍工業股份有限公司,新北市三重區國道路一段六一、六二號,M01,金屬電鍍處理程序,操作,116/03/14
F0201396,新北市,福昇鍍金工業股份有限公司,新北市三重區頂崁里中興北街一六○巷三○號,M01,金屬電鍍處理程序,操作,119/01/20
F0201485,新北市,宏進電子工業有限公司,新北市三重區中興里光復路一段三○巷八號,M01,印刷電路板製造程序,操作,117/09/15
F0201565,新北市,秋棠企業股份有限公司,新北市三重區永發里大勇街八二巷二六弄二八、三○、三二號,M01,金屬電鍍處理程序,操作,116/12/19
F0202008,新北市,順世企業有限公司,新北市三重區中興北街一○四巷一二號,M01,金屬電鍍處理程序,操作,117/12/02
F0202035,新北市,可豐工業有限公司,新北市三重區中興里中興南街二九之五號,M01,其他金屬品處理加工程序,操作,115/05/09
F0204584,新北市,復盛股份有限公司三重工廠,新北市三重區頂崁里光復路二段六○號,M01,金屬表面塗裝程序,操作,118/04/01
F0206506,新北市,祥楠興業有限公司,新北市三重區頂崁里中興北街二○四巷二六號一樓,M01,金屬電鍍處理程序,操作,117/01/09
F0211847,新北市,富源環保科技股份有限公司,新北市三重區頂崁里中興北街二四七巷一號,M01,使用熱處理法處理有害事業廢棄物製造程序,操作,116/09/19
F0212415,新北市,大禧工業股份有限公司光復廠,新北市三重區中興里光復路二段三六號,M01,印刷電路板製造程序,操作,118/03/10
F02A3272,新北市,台灣莫仕股份有限公司三重分公司(三重廠),新北市三重區中興里中興北街四四號一、二、三、四、六樓,M01,印刷電路板製造程序,操作,117/03/28
F02B0899,新北市,新北食品股份有限公司,新北市三重區永發里國道路一段五九號,M01,其他食品製造程序,操作,119/05/05
F02B4386,新北市,東坤國際實業有限公司,新北市三重區頂崁里光復路二段一八八號一、二樓,M01,其他食品製造程序,設置,119/07/14
F02B5007,新北市,統鮮美食股份有限公司,新北市三重區頂崁里中興北街一三六巷一八弄一八號一、二樓,M01,其他食品製造程序,操作,119/09/01
F02B5087,新北市,中精壓鑄股份有限公司三重廠,新北市三重區頂崁里光復路二段七四號,M01,鋁鑄造製造程序,操作,118/01/21
F02C5549,新北市,竹根有限公司國道廠,新北市三重區永發里國道路一段五八巷一八號,M01,其他玻璃及其製品製造程序,設置,118/10/15
F02C6646,新北市,家氏滷國際有限公司三重廠,新北市三重區頂崁里光復路二段一二九巷四號、四號二樓、四號三樓,M01,其他食品製造程序,設置,119/11/03
