county,ems_no,company_name,address,process_id,process_name,category,permit_no,effective_date,expiry_date
新北市,F09A1459,兆鴻印刷科技有限公司三峽廠,新北市三峽區添福里添福一四之三八號,M01,平版印刷作業程序,操作,新北市環操證字第F1759-04號,114/07/22,119/07/21
新北市,F09A1528,岳峰精密化學股份有限公司橫溪廠,新北市三峽區成福路一○五巷三六號一樓,M01,塗料製造程序,操作,新北市環操證字第F2130-01號,111/11/07,116/09/01
新北市,F09A1677,聯佶實業股份有限公司三峽廠,新北市三峽區成福里成福段小暗坑小段六三四地號,M01,混凝土拌合程序,操作,新北市環操證字第F1789-04號,114/05/04,119/05/03
新北市,F09A2021,廣鑫科技股份有限公司,新北市三峽區添福里添福五九之三號二樓,M01,印刷油墨化學原料製造程序,操作,新北市環操證字第F2033-01號,113/07/17,118/07/16
新北市,F09A3148,宗記營建剩餘土石方資源處理場,新北市三峽區溪北段○八八三、○八八四、○八九八、○九○二、○九一三、○九一四、○九一七、○九一八、○九一九、○九二八、○九二九、○九三○、○九三一、○九三二、○九三三、○九三四、○九三五、○九三六、○九三七、○九三八及○九三九地號等二一筆土地,M01,堆置場作業程序,操作,新北市環操證字第F1926-05號,113/08/30,115/10/04
新北市,F09A3257,協利泡綿有限公司,新北市三峽區竹崙里紫新路二六巷一一號,M01,其他合成樹脂或塑膠製造程序,操作,新北市環操證字第F2174-00號,112/06/20,117/06/19
新北市,F09A3663,泉碩科技股份有限公司,新北市三峽區添福七號,M01,其他塑膠製品製造程序,操作,新北市環操證字第F1934-02號,112/01/13,115/03/16
新北市,F09A5352,一禾泰興業有限公司,新北市三峽區成福里成福路一○五巷二九號,M01,動物油處理製造程序,操作,新北市環操證字第F1975-01號,111/08/01,116/06/12
新北市,F09A5659,寰冠科技股份有限公司,新北市三峽區安坑里安坑七○之二號,M01,混凝土拌合程序,操作,新北市環操證字第F1973-03號,113/12/22,118/12/21
新北市,F09A8089,永瀚金屬有限公司,新北市三峽區大埔里中園街一○四之五號一樓,M01,其他基本金屬鑄造製造程序,操作,新北市環操證字第F2055-01號,114/06/22,119/06/21
新北市,F09A9304,欣鉅興科技股份有限公司,新北市三峽區介壽里介壽路一段四一二巷一九號一、二、三樓,M01,印刷電路板製造程序,操作,新北市環操證字第F2181-01號,114/05/02,117/08/10
新北市,F09A9780,聯雅工業股份有限公司,新北市三峽區溪北里橫溪路九七號、九七之一號一樓,M01,其他橡膠製品製造程序,操作,新北市環操證字第F2177-00號,112/07/13,117/07/12
新北市,F09A9839,新北市有機廢棄物集中處理再利用廠,新北市三峽區山員潭子段六一之九地號,M01,廢棄物熱處理（焚化處理除外）程序,操作,新北市環操證字第F2234-00號,114/01/03,119/01/02
新北市,F09A9928,東徽有限公司,新北市三峽區成福里成福路一○五巷一○號一樓,M01,其他橡膠製品製造程序,設置,新北市環設證字第F1272-00號,112/03/10,117/03/09
新北市,F09B0171,丹露有限公司,新北市三峽區介壽里介壽路一段四二○巷一二號一樓,M01,其他食品製造程序,設置,新北市環設證字第F1313-00號,112/11/30,117/11/29
