ems_no,county,company_name,address,process_id,process_name,category,permit_no,effective_date,expiry_date
F0700509,新北市,介明塑膠股份有限公司,新北市樹林區三龍街七號,M01,M01 - 塑膠皮、板、管材製造程序,操作,新北市環操證字第F1941-02號,,115/05/10
F0700536,新北市,一天企業有限公司,新北市樹林區圳安里俊英街六三巷一○號,M01,M01 - 油漆化學製造程序,操作,新北市環操證字第F0354-07號,,118/01/01
F0700670,新北市,正竹金屬工業股份有限公司,新北市樹林區圳生里俊興街二九六號,M01,M01 - 鋼鑄造程序,操作,新北市燃使證字第F0896-06號,,119/08/30
F0701293,新北市,南亞塑膠工業股份有限公司台染廠,新北市樹林區東山里味王街五七號(含味王街五五號),M01,M01 - 熱媒加熱程序; M02 - 印染整理程序,操作,新北市環操證字第F0541-19號; 新北市環操證字第F0768-15號,,117/11/10
F0701613,新北市,中化合成生技股份有限公司山佳工廠,新北市樹林區東山里東興街一號,M02,M02 - 原料藥製造程序; M03 - 鍋爐蒸氣產生程序,操作,新北市環操證字第F0161-08號; 新北市環操證字第F0162-09號,,116/02/13
F0701640,新北市,電光企業股份有限公司,新北市樹林區東山里中山路二段一三一號,M02,M02 - 陶瓷製品濕式成型製造程序,操作,新北市環操證字第F0481-14號,,119/10/11
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M07,M07 - 聚脲(PU)樹脂化學製造程序; M08 - 熱媒加熱程序; M09 - 環氧樹脂製造程序; M11 - 環氧樹脂製造程序; M15 - 醫療器材及用品製造程序; M21 - 其他電子零組件製造程序; M25 - 離型膜製造程序; M26 - 其他合成樹脂或塑膠製造程序; M27 - 再生及合成纖維紡織品製造程序; M31 - 印刷油墨化學原料製造程序,操作,新北市環操證字第F0299-14號; 新北市環操證字第F0300-15號; 新北市環操證字第F0122-17號; 新北市環操證字第F1769-09號; 新北市環操證字第F2225-00號; 新北市環操證字第F0845-13號; 新北市環操證字第F1367-17號; 新北市環操證字第F1666-10號; 新北市環操證字第F1188-14號; 新北市環操證字第F1420-10號,,119/06/29
F0701846,新北市,輝泰工業股份有限公司,新北市樹林區三多里三俊街七四巷三五號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F0931-05號,,117/05/14
F0701926,新北市,優技電子股份有限公司,新北市樹林區東順街七一號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1314-04號,,115/08/15
F0701935,新北市,永晉電瓷股份有限公司,新北市樹林區潭底里豐林街四○號,M01,M01 - 陶瓷製品濕式成型製造程序,操作,新北市環操證字第F0147-08號,,118/12/25
F0701962,新北市,旭智股份有限公司,新北市樹林區山佳里八德街四九二巷七號,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F0496-11號,,115/08/08
F0702165,新北市,建鴻工業有限公司樹林廠,新北市樹林區武林街五之二號,M01,M01 - 金屬表面清洗程序,操作,新北市環操證字第F1968-02號,,116/02/27
F0702370,新北市,群益鋁業股份有限公司,新北市樹林區三興里工興街二八號,M01,M01 - 其他金屬品處理加工程序,操作,新北市環操證字第F1084-06號,,119/08/08
